initial,answer,clue,category,level,example
ㄱ,가게,tienda; negocio,lugares,1,가게에서 주스를 사요.
ㄱ,가격,precio,compras,1,시장에서 채소를 사면 가격이 싸요.
ㄱ,가깝다,estar cerca,adjetivos,1,우리 집은 학교에서 가까워요.
ㄱ,가끔,a veces,adverbios,1,친구는 가끔 운동을 해요.
ㄱ,가다,ir,verbos,1,저는 매일 학교에 가요.
ㄲ,깨끗하다,estar limpio,adjetivos,1,방을 청소해서 깨끗해요.
ㄲ,꽃,flor,naturaleza,1,꽃이 예뻐요.
ㄲ,꿈,sueño,vida diaria,1,좋은 꿈이에요.
ㄲ,끝,fin,finalización,1,끝이에요.
ㄲ,끝나다,terminar; finalizar,verbos,1,회사 일은 오후 6시에 끝나요.
ㄴ,나가다,salir,verbos,1,아버지는 아침에 집에서 나가요.
ㄴ,나라,país; nación,lugares,1,어느 나라 사람이에요?
ㄴ,나쁘다,ser malo,adjetivos,1,날씨가 나빠서 밖에 나가지 않아요.
ㄴ,나이,edad,personas,1,나이가 몇 살이에요?
ㄴ,나중,luego; después,tiempo,1,나중에 만나요.
ㄷ,다섯,cinco,números,1,다섯 명이에요.
ㄷ,다시,de nuevo; otra vez,adverbios,1,내년에 다시 가고 싶어요.
ㄷ,다음,siguiente; próximo,tiempo,1,다음 주말에 만나요.
ㄷ,닫다,cerrar,verbos,1,문을 닫아요.
ㄷ,달리다,correr,verbos,1,아침에 공원에서 달려요.
ㄸ,따뜻하다,ser cálido; estar templado,adjetivos,1,봄에는 날씨가 따뜻해요.
ㄸ,딸,hija,familia,1,딸이 있어요.
ㄸ,딸기,frutilla,comida,1,딸기를 좋아해요.
ㄸ,또,también; otra vez,adverbios,1,어제 입은 옷을 오늘 또 입어요.
ㄹ,라디오,radio,medios,1,라디오를 들어요.
ㄹ,라면,ramen/comida instantánea,comida,1,라면을 먹어요.
ㄹ,러시아,Rusia,países,1,러시아 사람이에요.
ㄹ,레몬,limón,comida,1,레몬을 좋아해요.
ㄹ,로봇,robot,tecnología,1,로봇이 움직여요.
ㅁ,마시다,beber,verbos,1,운동을 한 후에 물을 마셔요.
ㅁ,만나다,encontrarse; conocer,verbos,1,학교 앞에서 친구를 만나요.
ㅁ,만들다,hacer; crear; fabricar,verbos,1,나무로 종이를 만들어요.
ㅁ,많다,haber mucho; ser numeroso,adjetivos,1,공항에 사람이 많아요.
ㅁ,많이,mucho,adverbios,1,밥을 많이 먹었어요.
ㅂ,받다,recibir,verbos,1,친구의 전화를 받았어요.
ㅂ,발,pie,cuerpo,1,발이 아파요.
ㅂ,밤,noche,tiempo,1,밤에는 잠을 자요.
ㅂ,밥,arroz (cocido)/comida,comida,1,밥을 먹어요.
ㅂ,방,habitación; cuarto,hogar,1,방이 넓어요.
ㅃ,빨간색,color rojo,colores,1,빨간색 꽃이에요.
ㅃ,빨갛다,ser rojo,adjetivos,1,가을에는 단풍이 빨개요.
ㅃ,빨리,rápidamente,adverbios,1,바빠서 밥을 빨리 먹었어요.
ㅃ,빵,pan,comida,1,빵을 먹어요.
ㅃ,빵집,panadería,lugares,1,빵집에 가요.
ㅅ,사,cuatro,números,1,사월이에요.
ㅅ,사과,manzana,comida,1,사과를 먹어요.
ㅅ,사다,comprar,verbos,1,시장에서 사과를 사요.
ㅅ,사람,persona,personas,1,좋은 사람이에요.
ㅅ,사진,foto; fotografía,objetos,1,여행에서 사진을 찍었어요.
ㅆ,쌀,arroz,comida,1,쌀을 샀어요.
ㅆ,쓰다,escribir; usar; ponerse,verbos,1,공책에 이름을 써요.
ㅆ,쓰레기,basura,medio ambiente,1,쓰레기를 버려요.
ㅆ,씨,señor/señora,personas,1,민수 씨 안녕하세요.
ㅆ,씻다,lavar; lavarse,verbos,1,비누로 손을 씻어요.
ㅇ,아래,debajo,ubicación,1,의자 아래에 있어요.
