initial	answer	clue	category	level	example
ㄱ	가게	tienda; negocio	lugares	1	가게에서 주스를 사요.
ㄱ	가격	precio	compras	1	시장에서 채소를 사면 가격이 싸요.
ㄱ	가깝다	estar cerca	adjetivos	1	우리 집은 학교에서 가까워요.
ㄱ	가끔	a veces	adverbios	1	친구는 가끔 운동을 해요.
ㄱ	가다	ir	verbos	1	저는 매일 학교에 가요.
ㄱ	가르치다	enseñar	verbos	1	선생님은 한국어를 가르쳐요.
ㄱ	가방	bolso; mochila	objetos	1	가방 안에 책이 있어요.
ㄱ	가운데	centro; en medio	posición	1	책상이 방 가운데에 있어요.
ㄱ	가을	otoño	clima	1	가을 날씨가 좋아요.
ㄱ	가족	familia	familia	1	우리 가족은 네 명이에요.
ㄱ	감기	resfriado	salud	1	감기에 걸려서 열이 나요.
ㄱ	같이	juntos; junto con	adverbios	1	주말에 친구와 같이 영화를 봐요.
ㄱ	건물	edificio	lugares	1	학교 건물이 커요.
ㄱ	걷다	caminar	verbos	1	저는 집에서 회사까지 걸어갑니다.
ㄱ	검은색	color negro	colores	1	검은색 차예요.
ㄱ	것	cosa	gramática	1	좋은 것이에요.
ㄱ	겨울	invierno	clima	1	겨울에는 추워요.
ㄱ	계산하다	pagar; calcular	compras	1	계산할게요.
ㄱ	고맙다	estar agradecido; agradecer	adjetivos	1	도와줘서 고마워요.
ㄱ	공부하다	estudiar	verbos	1	저는 한국어를 열심히 공부해요.
ㄱ	공원	parque	lugares	1	친구와 공원에서 자전거를 타요.
ㄱ	공책	cuaderno	objetos	1	공책에 써요.
ㄱ	공항	aeropuerto	transporte	1	공항에서 비행기를 타요.
ㄱ	과일	fruta	comida	1	여름에는 과일을 많이 먹어요.
ㄱ	과자	galleta; snack	comida	1	이 과자 정말 맛있어요.
ㄱ	괜찮다	estar bien; no haber problema	adjetivos	1	괜찮아요.
ㄱ	교실	aula	educación	1	교실에 학생이 많아요.
ㄱ	교회	iglesia	lugares	1	교회에 가요.
ㄱ	구	nueve	números	1	구월이에요.
ㄱ	귀	oreja; oído	cuerpo	1	귀가 아파요.
ㄱ	그러면	entonces; en ese caso	conectores	1	그러면 저하고 같이 운동해요.
ㄱ	그리고	y; además; y luego	conectores	1	학교에 가요. 그리고 공부해요.
ㄱ	그리다	dibujar	verbos	1	아름다운 경치를 그려요.
ㄱ	그림	dibujo; pintura	arte	1	그림을 그려요.
ㄱ	극장	cine; teatro	lugares	1	극장에 가요.
ㄱ	근처	cerca; alrededores	lugares	1	우리 집 근처에는 공원이 있어요.
ㄱ	기다리다	esperar	verbos	1	친구를 기다려요.
ㄱ	기분	ánimo; estado de ánimo	emociones	1	오늘 기분이 좋아요.
ㄱ	기차	tren	transporte	1	기차를 타고 부산까지 갔어요.
ㄱ	길	camino; calle	transporte	1	길에 사람이 많아요.
ㄱ	길다	ser largo	adjetivos	1	머리가 길어요.
ㄱ	김밥	kimbap	comida	1	김밥을 먹어요.
ㄱ	김치	kimchi	comida	1	김치를 좋아해요.
ㄲ	깨끗하다	estar limpio	adjetivos	1	방을 청소해서 깨끗해요.
ㄲ	꽃	flor	naturaleza	1	꽃이 예뻐요.
ㄲ	꿈	sueño	vida diaria	1	좋은 꿈이에요.
ㄲ	끝	fin	finalización	1	끝이에요.
ㄲ	끝나다	terminar; finalizar	verbos	1	회사 일은 오후 6시에 끝나요.
ㄴ	나가다	salir	verbos	1	아버지는 아침에 집에서 나가요.
ㄴ	나라	país; nación	lugares	1	어느 나라 사람이에요?
ㄴ	나쁘다	ser malo	adjetivos	1	날씨가 나빠서 밖에 나가지 않아요.
ㄴ	나이	edad	personas	1	나이가 몇 살이에요?
ㄴ	나중	luego; después	tiempo	1	나중에 만나요.
ㄴ	날	día	tiempo	1	일요일은 학교에 안 가는 날이에요.
